"Question 1: Latent defects are defects that are unknown to the buyer and that are: 
(1)immediately visible to the eye of the average person. 
(2)required to be disclosed by the buyer to the seller. 
(3)immediately visible to the eye of the average person. 
(4)not discoverable upon a reasonable inspection of the property.",Answer: 4 Explanation: Option (4) is correct because a latent defect is a defect which is not immediately discoverable upon a reasonable inspection of the property. Option (1) is incorrect because a defect immediately visible to the eye is a patent defect. Option (2) is incorrect because a latent defect is required to be disclosed by the seller not the buyer. Option (3) is incorrect because a latent defect is the responsibility of the seller to disclose.
"Question 2: Real property is said to be more subject to the effects of externalities than most assets. This vulnerability is principally due to: 
(1)the relatively high cost of real property. 
(2)the fact that land is fixed in supply. 
(3)the relatively high cost of real property. 
(4)the lack of effective government regulations.","Answer: 3 Explanation: Option (3) is correct because the immobility of land renders real property more subject real property to the effects of externalities than most assets. An owner cannot move his or her real property to a more desirable location with beneficial externalities. Similarly, an owner cannot move his or her property away from a location subject or negative externalities. This characteristic of land has the greatest effect on the value of a real property asset. Options (1), (2), and (4) are therefore incorrect."
"Question 3: Which of the following is NOT a “real estate service” under the Real Estate Services Act? 
(1)Constructing a commercial office building in Prince George for an owner who lives in British Columbia 
(2)Collecting rents from tenants in a residential building in Burnaby for an owner who lives in Singapore 
(3)Constructing a commercial office building in Prince George for an owner who lives in British Columbia 
(4)Assisting in the sale of a condominium unit located in Vancouver but owned by a person who lives in Calgary",Answer: 1 Explanation: Option (1) is correct because construction of a building is not a real estate service under the Real Estate Services Act. Option (2) is incorrect because collecting rents from tenants is defined as “rental property management services” which fall under “real estate services” in the Real Estate Services Act. Options (3) and (4) are incorrect because selling or assisting in the sale of properties is defined as “trading services” which fall under “real estate services” in the Real Estate Services Act.
"Question 4: Which of the following statements is TRUE regarding sole proprietorships, partnerships, and corporations? 
(1)Only sole proprietors need to report business income on their personal income tax returns. 
(2)Only partners of a partnership need to report business income on their personal tax returns. 
(3)Only sole proprietors need to report business income on their personal income tax returns. 
(4)A corporation is a separate legal entity with its own income tax status.",Answer: 4 Explanation: Option (4) is correct; corporations are subject to income tax as a separate legal entity. Options (1) and (2) are incorrect because both sole proprietors and partners need to report their business income on their personal income tax returns. Option (3) is incorrect because corporations have different tax liability from proprietors and partners in that corporations are taxed as a separate legal entity.
"Question 5: Consider a situation in which the principal is the seller and the agent is the listing agent. Which of the following events will terminate the real estate agency relationship? 
(1)The principal’s refusal to accept an offer to purchase presented by the agent where the offer exactly complies with the requirements in the listing contract 
(2)An act of the principal that is inconsistent with the continuation of the agent’s authority 
(3)The principal’s refusal to accept an offer to purchase presented by the agent where the offer exactly complies with the requirements in the listing contract 
(4)The revocation of an offer to purchase by the offeror before the principal can accept it","Answer: 2 Explanation: Option (2) is correct because a real estate agency relationship depends on mutual consent, and therefore either party can terminate the relationship at will. An agent’s authority can be revoked orally or by conduct, and an act of the principal that is inconsistent with the continuation of authority terminates the relationship. Options (1) and (4) are incorrect because these scenarios do not terminate the agency relationship. They relate to the principal’s duty to pay real estate commission to the agent. Option (3) is incorrect because an agent’s offer to personally purchase the principal’s property is a conflict of interest. While such conflicts should be avoided, they do not terminate the agency relationship."
"Question 6: A $170,000 mortgage loan, written at a nominal rate of 7% per annum, compounded annually, has a 2-year contractual term. Payments are made monthly and are based on a 20-year amortization period. Payments are rounded to the next higher dollar. What is the size of the required payments? 
(1)$1,307 
(2)$1,319 
(3)$1,307 
(4)$1,297","Answer: 4 Explanation: Find the payments, rounded up to the nearest dollar, based on the terms of the mortgage contract that is given in the question. Press Display 7  NOM% 7 1  P/YR 1  EFF% 7 12  P/YR 12  NOM% 6.784974 170000 PV 170,000 0 FV 0 240 N 240 PMT 1,296.15607"
"Question 7: Before adopting, amending, or repealing a zoning bylaw, a municipal council as a matter of policy will: 
(1)obtain the approval of the federal government. 
(2)obtain the approval of the provincial government. 
(3)obtain the approval of the federal government. 
(4)hold a public hearing.","Answer: 4 Explanation: Option (4) is correct because a municipal council will hold a public hearing before adopting, amending or repealing a bylaw. Options (1) and (2) are incorrect because the power to zone has been delegated to the municipality by the Province, and the Province has not retained the right to decide zoning matters. Option (3) is incorrect because a municipal council typically issues notice of a public hearing to neighbouring properties, but no specified written notice is required."
"Question 8: Which of the following might be the subject of a real property appraisal? 
(1)Air space rights 
(2)A life insurance policy 
(3)Air space rights 
(4)A home owner’s insurance policy","Answer: 1 Explanation: Option (1) is correct because the subject of a real property appraisal is the particular rights of ownership vested in a certain piece of real estate. Air space rights are a legal interest in real property. Options (2), (3), and (4) are incorrect because these do not describe legal interests in real property."
"Question 9: When commencing a lawsuit in small claims court, the plaintiff may originate the action in which of the following jurisdictions? 
(1)Where either the plaintiff resides or the defendant resides 
(2)Where the plaintiff resides only 
(3)Where either the plaintiff resides or the defendant resides 
(4)Where either the cause of action arose or the plaintiff resides","Answer: 3 Explanation: Option (3) is correct because the plaintiff may originate an action either in the jurisdiction where the circumstances giving rise to the claim arose, or in the jurisdiction where the defendant resides or carries on business. Options (1), (2), and (4) are incorrect for this reason."
"Question 10: The principle that the person named on a particular certificate of title is entitled to a fee simple interest in that property, free from any condition or encumbrance that is not shown on title, is known as the: 
(1)assurance principle. 
(2)entitlement principle. 
(3)assurance principle. 
(4)indefeasibility principle.","Answer: 4 Explanation: Option (4) is correct and (1), (2), and (3) are incorrect because the principle of indefeasibility means that if a person is named on a certificate of title as the owner of the fee simple estate in land, then that is conclusive proof, as far as the world is concerned, that he or she is entitled to that fee simple estate."
"Question 11: In the event that the tenant abandons a commercial premises, the landlord is best advised to notify the tenant that the landlord intends to enter into possession of the premises solely to re-let on the tenant’s account: 
(1)or else the doctrine of frustration will be applied to the situation. 
(2)to avoid the tenant having grounds for an action in trespass. 
(3)or else the doctrine of frustration will be applied to the situation. 
(4)because otherwise the landlord will be breaching the covenant of quiet enjoyment.","Answer: 3 Explanation: Option (3) is correct because if the landlord notifies the tenant of entry to re-let the premises, he will not lose his rights against the tenant. Option (1) is incorrect because the doctrine of frustration only applies when events outside of the control of the parties fundamentally change the subject matter of the contract. In this case, an abandonment of commercial premises would not frustrate the contract. Option (2) is incorrect because even if the landlord did not provide notice, the tenant would not have grounds for an action in trespass, as the landlord has a right to enter incidental to the right to levy a distress. Option (4) is incorrect because the covenant of quiet enjoyment protects the tenant’s right to the premises. Here, the tenant has abandoned the premises and the landlord would not be breaching the covenant by entering the premises."
"Question 12: Which of the following elements are NOT considered in determining appropriate rates of interest on mortgage loans? 
(1)The credit rating of the borrower 
(2)The type of property used for security 
(3)The credit rating of the borrower 
(4)The amount of property insurance","Answer: 4 Explanation: Option (4) is correct because the amount of property insurance does not affect the risk to the lender, and therefore will not be considered in determining the appropriate rate. Options (1) and (2) are incorrect because the borrower’s credit rating and the type of property affect the risk of the loan to the lender. Option (3) is incorrect because a lender will set an appropriate rate of return based on the risk of lending, as well as the amount of administrative work required."
"Question 13: Where a commercial tenancy is expressed as lasting for a period of one year and terminating on a fixed date, how much notice must be given to terminate the tenancy? 
(1)No notice is required. 
(2)Thirty days’ notice is required. 
(3)No notice is required. 
(4)Reasonable notice is required.","Answer: 1 Explanation: Option (1) is correct because a commercial lease for a fixed term terminates at the end of the term, on the specified end date. Options (2), (3), and (4) are incorrect for this reason."
"Question 14: Which of the following is NOT a possible meaning of the term “common law”? 
(1)The law created by the courts as opposed to statute law 
(2)The principles derived from the common law courts in England as opposed to the principles derived from the courts of Chancery 
(3)The law created by the courts as opposed to statute law 
(4)The system of law which relies upon the principle of stare decisis for its development","Answer: 3 Explanation: Option (3) is the correct answer because it is not a possible meaning of the term “common law”. The body of laws created by the Federal government (i.e., by the federal legislature) is referred to as statute law. Option (1) is incorrect because the term “common law” often broadly refers to the law created by the courts, based in either common-law or equitable principles. Option (2) is incorrect because another possible meaning of “common law” is the original set of court-developed principles, which evolved separately from equitable principles, before these two courts merged. Option (4) is incorrect because the doctrine of stare decisis underlies the binding nature of precedent within the common law."
"Question 15: On May 3, Mary offered to buy Harvey’s house, and the offer was stated to be open for acceptance until 2:00 p.m. May 4. Which one of the following statements is FALSE? 
(1)Mary can revoke her offer prior to 2:00 p.m. on May 4. 
(2)Mary’s offer represents an option agreement. 
(3)Mary can revoke her offer prior to 2:00 p.m. on May 4. 
(4)If Mary mails a notice of revocation to Harvey, the offer is only revoked if the notice is received by Harvey before he accepts.","Answer: 2 Explanation: Option (2) is the correct answer because it is false. Separate consideration needs to be given to create an option agreement and keep the offer open. Option (1) is incorrect because it is true – revocation of an offer can happen at any time prior to the expiration of the offer. Option (3) is incorrect because any changes that Harvey makes to the offer would be considered a counter-offer. A counter-offer must be accepted by Mary, so it effectively terminates her original offer. Option (4) is incorrect because revocation must actually be communicated to Harvey. There is no “postal acceptance rule” with regards to revocation."
"Question 16: Mike bought a house two years ago at which time he arranged a $110,000 mortgage. This loan was written at a nominal rate of 9.5% per annum, compounded semi-annually, with a 10-year term and amortization period, and monthly payments of $1,413. Today Mike has received an offer from Andre to buy his house for $50,000 cash plus assumption of his mortgage. If current mortgage rates for similar mortgages are 12% per annum, compounded semi-annually, what is the market value of Andre’s offer, rounded to the nearest dollar? 
(1)$127,146 
(2)$137,795 
(3)$127,146 
(4)$89,792","Answer: 2 Explanation: Find the new PV, given that the payments remain at $1,413, but the market value of the mortgage changes because the new rates are 12% per annum, compounded semi-annually. This rate is higher than the contract rate; therefore, we would expect the PV of the loan to be lower. Also, we only have 8 years, or 96 N, left on the mortgage. Press Display 12  NOM% 12 2  P/YR 2  EFF% 12.36 12  P/YR 12  NOM% 11.710553 96 N 96 1413 +/- PMT 1,413 0 FV 0 PV 87,795.457654 (market value of mortgage) + 50000 = 137,795.457654 (market value of the offer) The market value of the offer is $137,795."
"Question 17: Which of the following contractual clauses in a mortgage could apply where the mortgage is otherwise in good standing but the borrower has not paid their property taxes? 
(1)A “further charges” clause 
(2)A “repayment” clause 
(3)A “further charges” clause 
(4)An “omnibus” clause","Answer: 4 Explanation: Option (4) is correct because an omnibus clause allows the mortgagee to pay monies to be paid by the mortgagor (e.g., property taxes or strata charges) if unpaid and such amounts are added to the principal secured. Options (1), (2), and (3) are incorrect as these clauses are not applicable in such a situation."
"Question 18: Which of the following items is NOT an example of a technological compatibility issue? 
(1)A licensee cannot access a forms software because it is not compatible with her computer’s operating system. 
(2)A licensee sends a form to a property seller from a mobile phone, and the seller is able to fill it out from her desktop computer. 
(3)A licensee cannot access a forms software because it is not compatible with her computer’s operating system. 
(4)A licensee has to enter the same property information into three different programs because the programs are not compatible with one another.","Answer: 2 Explanation: Option (2) is the correct answer because the form is compatible across mobile devices, therefore it is not an example of a technological capability issue. Options (1), (3), and (4) are all examples of technological compatibility issues and are therefore incorrect."
"Question 19: A developer is selling a development unit of subdivided land situated in British Columbia and the developer has obtained a written statement from the purchaser acknowledging that the buyer has read the appropriate disclosure statement. If the purchase agreement is then entered into, the buyer: 
(1)may serve notice to rescind the contract no later than three days from the date of the contract. 
(2)may serve notice to rescind the contract no later than seven days from the date of the contract. 
(3)may serve notice to rescind the contract no later than three days from the date of the contract. 
(4)may not rescind the contract.","Answer: 2 Explanation: Option (2) is correct because there is a seven day rescission right whereby the purchaser can serve written notice of rescission seven days after giving a written statement that they have read the disclosure statement. Options (1), (3), and (4) are incorrect for this reason."
"Question 20: Which of the following statements is TRUE? 
(1)Real estate appraisers must be licensed in British Columbia. 
(2)With an unusual property or a market with few participants, the margin of error in an appraiser’s estimate of market value is always 5% or lower. 
(3)Real estate appraisers must be licensed in British Columbia. 
(4)The market value of real property as determined by an experienced appraiser may be greater than the ceiling price of the buyer.","Answer: 4 Explanation: Option (4) is true because the ceiling price of a buyer is subjective and could be any value; for example, far above the appraised value. Option (1) is incorrect as there are no licensing requirements for real estate appraisers. Option (2) is incorrect because the recognized margin of error for an appraisal of an usual property or a market with few participants will likely be much higher than 5% to 10%. Option (3) is incorrect as there is no legal requirement for a specific appraisal license or designation that would prevent a qualified licensed real estate representative from performing an appraisal."
